,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,15.294683899963276,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['2', '2', '3', '4', '4', '3']","[2.031934199971147, 11.774896999937482, 15.17472559993621, 16.934746799990535, 17.29473910003435, 17.32661809993442]",1,6,# # # # # #,None
2,0.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,1.8881319999927653,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[23.4227155999979, 23.718815400032327, 24.070666100014932, 24.72669839998707, 25.038781499955803, 25.310847599990666]",1,6,# # # # # #,None
4,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,13.19229749997612,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['4', '1', '4', '4', '1', '4']","[31.670665999990888, 32.054680999950506, 42.3986428999342, 43.86265699996147, 44.57469989999663, 44.86296349996701]",1,6,# # # # # #,None
6,0.0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,7.336101699969731,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,True,0.5,acc,right,True,2,1,3,ret,1,3,1,"['3', '4', '1', '1', '4', '4']","[57.83070749999024, 58.366577000007965, 62.05480409995653, 63.40668659994844, 64.99064209999051, 65.16680919995997]",1,6,# # # # # #,None
8,0.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,3.3839963000500566,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[74.23064249998424, 74.63077980000526, 75.67065189999994, 76.0945887999842, 77.47859069996048, 77.6146388000343]",1,6,# # # # # #,None
