,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,2.9350260999999587,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[5.304026800000429, 5.599025200001051, 5.943006200002856, 7.19102820000262, 7.927536900002451, 8.239052900000388]",1,6,# # # # # #,None,5.304026800000429,5.599025200001051,5.943006200002856,7.19102820000262,7.927536900002451,8.239052900000388,-1.195973199999571,0.2949984000006225,0.3439810000018042,1.2480219999997644,0.7365086999998312,0.3115159999979369
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,3.944002500000353,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[14.910992000000988, 15.8550436000005, 16.463009400002193, 17.231009099999937, 18.2310114000029, 18.85499450000134]",1,6,# # # # # #,None,14.910992000000988,15.8550436000005,16.463009400002193,17.231009099999937,18.2310114000029,18.85499450000134,0.17193910000059986,0.9440515999995114,0.6079658000016934,0.7679996999977448,1.0000023000029614,0.6239830999984406
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,10.343947900000783,3,True,0.5,acc,right,True,2,1,1,ret,1,1,0,"['4', '1', '4', '3', '1', '3']","[25.247063900002104, 25.83234950000042, 26.503012100001797, 34.37486990000252, 35.055013700002746, 35.59101180000289]",1,6,# # # # # #,None,25.247063900002104,25.83234950000042,26.503012100001797,34.37486990000252,35.055013700002746,35.59101180000289,-0.10793059999923571,0.5852855999983149,0.6706626000013785,7.8718578000007255,0.6801438000002236,0.5359981000001426
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,2.7599864000003445,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[44.567084900001646, 45.15900099999999, 45.711109200001374, 46.40705870000238, 46.911056400000234, 47.32707130000199]",1,6,# # # # # #,None,44.567084900001646,45.15900099999999,45.711109200001374,46.40705870000238,46.911056400000234,47.32707130000199,2.4760730999987572,0.5919160999983433,0.5521082000013848,0.6959495000010065,0.5039976999978535,0.41601490000175545
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,7.280041599999095,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[56.6629079000013, 57.518996900002094, 58.894970600002125, 59.37502190000305, 63.42292170000292, 63.942949500000395]",1,6,# # # # # #,None,56.6629079000013,57.518996900002094,58.894970600002125,59.37502190000305,63.42292170000292,63.942949500000395,2.835836599999311,0.856089000000793,1.3759737000000314,0.4800513000009232,4.047899799999868,0.5200277999974787
