,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,1.3916704999865033,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['2', '2', '2', '4', '2', '3']","[20.699145300022792, 21.002956100011943, 21.274915800022427, 21.594893400004366, 21.906908500008285, 22.090815800009295]",1,6,# # # # # #,None
2,0.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,6.7039576999959545,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['1', '3', '1', 'space', '4', '2']","[30.442849100014428, 30.74689490001765, 31.11484510000446, 31.418808500020532, 35.75479630002519, 37.14680680001038]",1,6,# # # # # #,None
4,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,3.767989600019064,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[44.66676890000235, 45.77862820000155, 46.162802000006195, 47.938768300024094, 48.22672820001026, 48.43475850002142]",1,6,# # # # # #,None
6,0.0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,1.8640223999973389,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[57.73070370001369, 58.12282680001226, 58.48277230001986, 58.834720000013476, 59.41071590001229, 59.59472610001103]",1,6,# # # # # #,None
8,0.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,4.096049099985977,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[69.010740000027, 69.42663910001284, 70.51479880002444, 70.83545320000849, 72.80280610002228, 73.10678910001297]",1,6,# # # # # #,None
10,0.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
11,4.432011099997909,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['2', '2', '3', '1', '4', '2']","[82.73872620001202, 83.00259370001731, 84.45861510001123, 84.70671000002767, 86.40273820000584, 87.17073730000993]",1,6,# # # # # #,None
12,0.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6
13,3.663990000000922,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['3', '3', '1', '4', '4', '4']","[96.42673530001775, 96.80278360002558, 97.1067197000084, 98.93874180002604, 99.74667410002439, 100.09072530001868]",1,6,# # # # # #,None
14,0.0,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4
15,2.8798623999755364,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2,True,0.5,acc,right,True,2,1,3,ret,1,3,1,"['1', '2', '3', '1', '1', '2']","[108.74675100002787, 109.0507171000063, 109.53068900000653, 109.95471090002684, 111.34675870000501, 111.62661340000341]",1,6,# # # # # #,None
16,0.0,16,16.0,16.0,16.0,16.0,16.0,0.0,0.0,,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6
17,2.2239057999977376,17,17.0,17.0,17.0,17.0,17.0,1.0,1.0,,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['4', '2', '2', '1', '2', '2']","[5.419882999995025, 5.699589800002286, 5.8597319000109565, 6.123906399996486, 6.635852800012799, 7.6437887999927625]",1,6,# # # # # #,None
18,0.0,18,18.0,18.0,18.0,18.0,18.0,2.0,2.0,,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6
19,1.287854399997741,19,19.0,19.0,19.0,19.0,19.0,3.0,3.0,,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[13.827947100013262, 14.05180190000101, 14.299775299994508, 14.699774700013222, 14.931863100006012, 15.115801500011003]",1,6,# # # # # #,None
20,0.0,20,20.0,20.0,20.0,20.0,20.0,4.0,4.0,,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4
