,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,2.0878869,3,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['2', '2', '2', '4', '3', '4']","[4.933050799998455, 5.102462699996977, 5.23693909999929, 5.605121099997632, 5.87684139999692, 7.020937699999195]",1,6,# # # # # #,None,4.933050799998455,5.102462699996977,5.23693909999929,5.605121099997632,5.87684139999692,7.020937699999195,-1.5669492000015453,0.16941189999852213,0.1344764000023133,0.3681819999983418,0.2717202999992878,1.1440963000022748
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,6.2549344,3,True,0.5,acc,right,True,2,1,2,ret,1,2,1,"['3', '1', '3', '3', '3', '2']","[8.574115399998846, 13.56501500000013, 13.932970799996838, 14.100917699997808, 14.612936399997125, 14.829049799998756]",1,6,# # # # # #,None,8.574115399998846,13.56501500000013,13.932970799996838,14.100917699997808,14.612936399997125,14.829049799998756,-4.946822300000349,4.990899600001285,0.36795579999670736,0.16794690000097034,0.5120186999993166,0.21611340000163182
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,10.7147074,3,True,0.5,acc,right,True,2,1,1,ret,1,1,0,"['1', '3', '1', '4', '4', '1']","[16.37021199999799, 22.46096519999992, 22.87686559999929, 25.94094959999711, 26.10889809999935, 27.084919400000217]",1,6,# # # # # #,None,16.37021199999799,22.46096519999992,22.87686559999929,25.94094959999711,26.10889809999935,27.084919400000217,-4.958837800000765,6.090753200001927,0.4159003999993729,3.0640839999978198,0.1679485000022396,0.9760213000008662
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,3.1677076,2,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['4', '3', '4', '4', '4', '1']","[36.83727649999855, 37.165000499997404, 37.941036299998814, 38.56490869999834, 39.796949999999924, 40.0049841]",1,6,# # # # # #,None,36.83727649999855,37.165000499997404,37.941036299998814,38.56490869999834,39.796949999999924,40.0049841,3.252357099998335,0.3277239999988524,0.7760358000014094,0.6238723999995273,1.2320413000015833,0.20803410000007716
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,3.567651,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[49.933335399997304, 50.4048750999973, 51.23703949999981, 51.47715889999745, 53.348859300000186, 53.50098639999851]",1,6,# # # # # #,None,49.933335399997304,50.4048750999973,51.23703949999981,51.47715889999745,53.348859300000186,53.50098639999851,3.4283512999973027,0.4715396999999939,0.8321644000025117,0.24011939999763854,1.8717004000027373,0.1521270999983244
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,6.1999929,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '4', '2', '3', '1']","[65.2048305999997, 65.53296380000029, 68.97291369999948, 69.26092470000003, 71.26078319999942, 71.40482349999729]",1,6,# # # # # #,None,65.2048305999997,65.53296380000029,68.97291369999948,69.26092470000003,71.26078319999942,71.40482349999729,5.2038442000011855,0.3281332000005932,3.439949899999192,0.2880110000005516,1.999858499999391,0.14404029999786871
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,4.5445724,3,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['3', '3', '1', '4', '1', '3']","[80.38085969999884, 80.70881459999873, 81.70896009999706, 84.46091749999687, 84.74081749999823, 84.92543209999712]",1,6,# # # # # #,None,80.38085969999884,80.70881459999873,81.70896009999706,84.46091749999687,84.74081749999823,84.92543209999712,2.476036200001545,0.32795489999989513,1.0001454999983252,2.75195739999981,0.27990000000136206,0.18461459999889485
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,2.3758798,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[93.66095549999955, 93.87734309999723, 94.2129688999994, 94.70878049999737, 95.82886329999747, 96.03683529999762]",1,6,# # # # # #,None,93.66095549999955,93.87734309999723,94.2129688999994,94.70878049999737,95.82886329999747,96.03683529999762,2.235523400002421,0.21638759999768808,0.3356258000021626,0.4958115999979782,1.120082800000091,0.20797200000015437
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,1.1358595,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['4', '2', '2', '1', '2', '2']","[5.382653000000573, 5.7266966000024695, 5.8785908999998355, 6.16667310000048, 6.382606900002429, 6.518512500002544]",1,6,# # # # # #,None,5.382653000000573,5.7266966000024695,5.8785908999998355,6.16667310000048,6.382606900002429,6.518512500002544,NaN,0.34404360000189627,0.15189429999736603,0.28808220000064466,0.21593380000194884,0.13590560000011465
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,2.22429,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[13.246569200000522, 13.606759900001634, 14.430573699999513, 15.022607700000663, 15.310598600000958, 15.470859200002451]",1,6,# # # # # #,None,13.246569200000522,13.606759900001634,14.430573699999513,15.022607700000663,15.310598600000958,15.470859200002451,0.22805669999797828,0.3601907000011124,0.823813799997879,0.5920340000011493,0.28799090000029537,0.160260600001493
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,5.4803523,2,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['1', '2', '4', '1', '2', '1']","[24.86258530000123, 25.15129209999941, 28.254543800001557, 28.638607200002298, 30.238747800001875, 30.342937600002188]",1,6,# # # # # #,None,24.86258530000123,25.15129209999941,28.254543800001557,28.638607200002298,30.238747800001875,30.342937600002188,2.8917260999987775,0.28870679999818094,3.103251700002147,0.38406340000074124,1.6001405999995768,0.10418980000031297
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,3.8720167,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[39.534597900001245, 41.0225688999999, 41.246562399999675, 43.02255409999998, 43.222564700001385, 43.40661460000047]",1,6,# # # # # #,None,39.534597900001245,41.0225688999999,41.246562399999675,43.02255409999998,43.222564700001385,43.40661460000047,2.6916602999990573,1.4879709999986517,0.22399349999977858,1.7759917000003043,0.2000106000014057,0.1840498999990814
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
25,9,7.0640825,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '3', '1', '2', '3', '4']","[52.582905400002346, 52.79064220000146, 56.47861200000261, 56.59904420000021, 59.54266560000178, 59.64698789999966]",1,6,# # # # # #,None,52.582905400002346,52.79064220000146,56.47861200000261,56.59904420000021,59.54266560000178,59.64698789999966,2.6762908000018797,0.2077367999991111,3.687969800001156,0.12043219999759458,2.9436214000015752,0.10432229999787523
26,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 3 1 1 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27,11,3.1364178,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '3', '1', '1', '2']","[68.71857610000006, 69.22258100000181, 70.58253310000146, 70.87055250000049, 71.73452770000222, 71.85499390000041]",1,6,# # # # # #,None,68.71857610000006,69.22258100000181,70.58253310000146,70.87055250000049,71.73452770000222,71.85499390000041,2.5715882000004058,0.5040049000017461,1.3599520999996457,0.2880193999990297,0.8639752000017324,0.12046619999819086
28,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 4 2 2 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
