,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,2.0878869,1,1,1,1,1,1,1,1,1,3,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,1,"['2', '2', '2', '4', '3', '4']","[4.933050799998455, 5.102462699996977, 5.23693909999929, 5.605121099997632, 5.87684139999692, 7.020937699999195]",1,6,# # # # # #,None
2,0,2,2,2,2,2,2,2,2,2,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,6.2549344,3,3,3,3,3,3,3,3,3,3,TRUE,0.5,acc,right,TRUE,2,1,2,ret,1,2,1,"['3', '1', '3', '3', '3', '2']","[8.574115399998846, 13.56501500000013, 13.932970799996838, 14.100917699997808, 14.612936399997125, 14.829049799998756]",1,6,# # # # # #,None
4,0,4,4,4,4,4,4,4,4,4,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,10.7147074,5,5,5,5,5,5,5,5,5,3,TRUE,0.5,acc,right,TRUE,2,1,1,ret,1,1,0,"['1', '3', '1', '4', '4', '1']","[16.37021199999799, 22.46096519999992, 22.87686559999929, 25.94094959999711, 26.10889809999935, 27.084919400000217]",1,6,# # # # # #,None
6,0,6,6,6,6,6,6,6,6,6,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,3.1677076,7,7,7,7,7,7,7,7,7,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,1,"['4', '3', '4', '4', '4', '1']","[36.83727649999855, 37.165000499997404, 37.941036299998814, 38.56490869999834, 39.796949999999924, 40.0049841]",1,6,# # # # # #,None
8,0,8,8,8,8,8,8,8,8,8,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,3.567651,9,9,9,9,9,9,9,9,9,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[49.933335399997304, 50.4048750999973, 51.23703949999981, 51.47715889999745, 53.348859300000186, 53.50098639999851]",1,6,# # # # # #,None
10,0,10,10,10,10,10,10,10,10,10,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
11,6.1999929,11,11,11,11,11,11,11,11,11,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['2', '2', '4', '2', '3', '1']","[65.2048305999997, 65.53296380000029, 68.97291369999948, 69.26092470000003, 71.26078319999942, 71.40482349999729]",1,6,# # # # # #,None
12,0,12,12,12,12,12,12,12,12,12,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6
13,4.5445724,13,13,13,13,13,13,13,13,13,3,TRUE,0.5,acc,right,TRUE,2,1,3,ret,1,3,0,"['3', '3', '1', '4', '1', '3']","[80.38085969999884, 80.70881459999873, 81.70896009999706, 84.46091749999687, 84.74081749999823, 84.92543209999712]",1,6,# # # # # #,None
14,0,14,14,14,14,14,14,14,14,14,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4
15,2.3758798,15,15,15,15,15,15,15,15,15,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[93.66095549999955, 93.87734309999723, 94.2129688999994, 94.70878049999737, 95.82886329999747, 96.03683529999762]",1,6,# # # # # #,None
16,0,16,16,16,16,16,16,16,0,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6
