,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,12.700424599985125,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True,0.5,acc,right,True,2,1,3,ret,1,3,1,"['4', '4', '3', '4', '4', '3']","[4.074759200011613, 4.211076400009915, 10.722162299993215, 15.571232400019653, 16.148054799996316, 16.77518379999674]",1,6,# # # # # #,None
2,0.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,3.5562164000002667,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['1', '3', '1', '3', '2', '1']","[24.55575180001324, 24.869166200020118, 25.458984199998667, 27.478051300015068, 27.87105149999843, 28.111968200013507]",1,6,# # # # # #,None
4,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,3.0816065999970306,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[36.25222650001524, 36.57101440001861, 37.07519980001962, 38.79902770000626, 39.0951597999956, 39.33383310001227]",1,6,# # # # # #,None
6,0.0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,2.5246455000014976,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[49.03627229999984, 49.340003200020874, 50.36893820000114, 50.6648806000012, 51.314223099994706, 51.560917800001334]",1,6,# # # # # #,None
8,0.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,5.8480283000099025,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['1', '4', '3', '3', '4', '1']","[60.633188500010874, 61.24720310000703, 63.93021150000277, 64.1838424000016, 66.24885080000968, 66.48121680002077]",1,6,# # # # # #,None
10,0.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
11,7.524133800005075,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '4', '2', '3', '1']","[75.36294940000516, 75.59611919999588, 77.5980234000017, 78.20012409999617, 82.61615929999971, 82.88708320001024]",1,6,# # # # # #,None
