,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,3.107598600006895,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['2', '2', '2', '4', '3', '3']","[5.326723599981051, 5.527473199996166, 5.718571999983396, 6.8034329999936745, 8.19836330000544, 8.434322199987946]",1,6,# # # # # #,None,5.326723599981051,5.527473199996166,5.718571999983396,6.8034329999936745,8.19836330000544,8.434322199987946,-1.173276400018949,0.200749600015115,0.19109879998723045,1.084861000010278,1.3949303000117652,0.2359588999825064
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,2.8810684000200126,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[14.695413299981738, 14.88857929999358, 15.178337899997132, 17.05024969999795, 17.37127010000404, 17.57648170000175]",1,6,# # # # # #,None,14.695413299981738,14.88857929999358,15.178337899997132,17.05024969999795,17.37127010000404,17.57648170000175,-0.23890890000620857,0.1931660000118427,0.2897586000035517,1.8719118000008166,0.3210204000060912,0.20521159999771044
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,5.871053100010612,3,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['4', '1', '3', '4', '1', '4']","[23.592342299991287, 23.881247999990592, 27.963450599985663, 28.733494299987797, 29.22457759999088, 29.4633954000019]",1,6,# # # # # #,None,23.592342299991287,23.881247999990592,27.963450599985663,28.733494299987797,29.22457759999088,29.4633954000019,-0.48413940001046285,0.2889056999993045,4.082202599995071,0.7700437000021338,0.4910833000030834,0.23881780001102015
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,4.174102299992228,2,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['4', '1', '4', '3', '4', '4']","[38.19033209999907, 38.58730079999077, 38.92330910000601, 39.57339800000773, 42.20646009998745, 42.364434399991296]",1,6,# # # # # #,None,38.19033209999907,38.58730079999077,38.92330910000601,39.57339800000773,42.20646009998745,42.364434399991296,2.226936699997168,0.39696869999170303,0.3360083000152372,0.6500889000017196,2.6330620999797247,0.15797430000384338
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,6.455606099974832,2,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['4', '3', '3', '3', '4', '1']","[51.54635260000941, 52.04824760000338, 54.28128110000398, 54.67844530000002, 57.64645139998174, 58.00195869998424]",1,6,# # # # # #,None,51.54635260000941,52.04824760000338,54.28128110000398,54.67844530000002,57.64645139998174,58.00195869998424,2.681918200018117,0.501894999993965,2.2330335000006016,0.39716419999604113,2.9680060999817215,0.3555073000025004
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,5.973088700004157,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['2', '2', '3', '1', '2', '2']","[69.321208999987, 69.95834889999242, 74.21730509999907, 74.6971773999976, 75.11547520000022, 75.29429769999115]",1,6,# # # # # #,None,69.321208999987,69.95834889999242,74.21730509999907,74.6971773999976,75.11547520000022,75.29429769999115,4.81925030000275,0.6371399000054225,4.258956200006651,0.479872299998533,0.4182978000026196,0.17882249999092892
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,10.798052500002086,3,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['4', '3', '3', '1', '1', '4']","[83.31422989998828, 87.70727769998484, 92.01133509998908, 92.54934769999818, 93.27620100000058, 94.11228239999036]",1,6,# # # # # #,None,83.31422989998828,87.70727769998484,92.01133509998908,92.54934769999818,93.27620100000058,94.11228239999036,1.519932199997129,4.393047799996566,4.30405740000424,0.5380126000090968,0.7268533000024036,0.83608139998978
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,4.121024699998088,2,True,0.5,acc,right,True,2,1,3,ret,1,3,1,"['1', '2', '4', '3', '4', '1']","[102.9303338000027, 103.27620419999585, 103.83907709998311, 105.93260589998681, 106.71623769999132, 107.05135850000079]",1,6,# # # # # #,None,102.9303338000027,103.27620419999585,103.83907709998311,105.93260589998681,106.71623769999132,107.05135850000079,2.3180514000123367,0.34587039999314584,0.5628728999872692,2.0935288000036962,0.7836318000045139,0.335120800009463
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,1.5942469000001438,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '2', '2', '1', '1', '2']","[4.888180700014345, 5.283157200028654, 5.479282800020883, 5.886196400009794, 6.036297300015576, 6.482427600014489]",1,6,# # # # # #,None,4.888180700014345,5.283157200028654,5.479282800020883,5.886196400009794,6.036297300015576,6.482427600014489,NaN,0.39497650001430884,0.19612559999222867,0.4069135999889113,0.15010090000578202,0.44613029999891296
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,1.3472343000175897,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[13.20622180000646, 13.427241299999878, 13.784146900026826, 14.121088600018993, 14.37016340001719, 14.55345610002405]",1,6,# # # # # #,None,13.20622180000646,13.427241299999878,13.784146900026826,14.121088600018993,14.37016340001719,14.55345610002405,0.22379419999197125,0.2210194999934174,0.3569056000269484,0.33694169999216683,0.2490747999981977,0.18329270000685938
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,6.7508698999881736,2,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['1', '2', '2', '2', '4', '1']","[23.325326500023948, 23.75212420002208, 24.860828300006688, 25.051921500009485, 29.744161500013433, 30.076196400012122]",1,6,# # # # # #,None,23.325326500023948,23.75212420002208,24.860828300006688,25.051921500009485,29.744161500013433,30.076196400012122,2.271870399999898,0.4267976999981329,1.1087040999846067,0.19109320000279695,4.692240000003949,0.33203489999868907
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,3.5339538000116586,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[38.621279300015885, 39.685183000023244, 40.089132400025846, 41.53634420002345, 41.73727620000136, 42.155233100027544]",1,6,# # # # # #,None,38.621279300015885,39.685183000023244,40.089132400025846,41.53634420002345,41.73727620000136,42.155233100027544,2.045082900003763,1.0639037000073586,0.4039494000026025,1.4472117999976035,0.2009319999779109,0.4179569000261836
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
25,9,4.624981300003128,2,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['4', '3', '3', '2', '1', '2']","[51.918227700021816, 52.258249400008935, 54.46722010002122, 54.73520520000602, 56.18318150000414, 56.543209000024945]",1,6,# # # # # #,None,51.918227700021816,52.258249400008935,54.46722010002122,54.73520520000602,56.18318150000414,56.543209000024945,3.262994599994272,0.34002169998711906,2.208970700012287,0.2679850999847986,1.4479762999981176,0.36002750002080575
26,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 3 1 1 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
