1234,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
26,0,26,26,26,26,26,26,10,10,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 3 3 1 1 2,4
27,3.6800021,27,27,27,27,27,27,11,11,,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,1,"['4', '3', '2', '1', '1', '3']","[84.63491399999475, 84.8508773999929, 86.64292109999224, 86.74694889999228, 88.2188715999946, 88.31491609997465]",1,6,# # # # # #,None
28,0,28,28,28,28,28,28,12,12,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,2 3 4 2 2 1,6
29,5.6721442,29,29,29,29,29,29,13,13,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['1', '2', '2', '4', '3', '2']","[96.3228694999998, 97.33092579999357, 97.5307746999897, 99.92288399999961, 101.84293539999635, 101.99501369998325]",1,6,# # # # # #,None
30,0,30,30,30,30,30,30,14,14,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 2 3 4 2 1,4
31,5.3836667,31,31,31,31,31,31,15,15,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '2', '3', '4', '2', '1']","[113.05127060000086, 114.23493069998221, 115.95495759998448, 116.1233557999949, 118.36279889999423, 118.4349372999859]",1,6,# # # # # #,None
32,0,32,32,32,32,32,32,16,16,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 4 1 3 2 4,4
33,3.8804413,33,33,33,33,33,33,17,17,,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,1,"['1', '3', '1', '3', '2', '5']","[127.14697010000236, 127.47511589998612, 128.79497029999038, 129.09895109999343, 130.83488079998642, 131.02741139999125]",1,6,# # # # # #,None
34,0,34,34,34,34,34,34,18,18,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 3 3 4,6
35,3.9202265,35,35,35,35,35,35,19,19,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '3', '3', '3', '3', '2']","[138.2107537999982, 138.9469571999798, 139.1789780999825, 141.7389075999963, 141.93896469997708, 142.13098029998946]",1,6,# # # # # #,None
36,0,36,36,36,36,36,36,20,20,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 1 3 2 2 4,6
37,1.8318773,37,37,37,37,37,37,21,21,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '1', '3', '2', '2', '4']","[148.73891189999995, 148.95499879997806, 149.2109480999934, 150.20294219997595, 150.41089579998516, 150.57078919999185]",1,6,# # # # # #,None
38,0,38,38,38,38,38,38,22,22,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 4,4
39,5.4478287,39,39,39,39,39,39,23,23,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '4', '1', '1', '1', '4']","[159.29903480000212, 159.50694399999338, 161.84291409997968, 162.25889899997856, 164.45071839998127, 164.74686349998228]",1,6,# # # # # #,None
40,0,40,40,40,40,40,0,0,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,3 2 2 3 2 3,6
41,2.2320784,41,41,41,41,41,1,1,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '2', '2', '3', '2', '3']","[5.67022079997696, 5.95031809998909, 6.1663815999927465, 7.566275599994697, 7.766360099980375, 7.9022991999809165]",2,6,# # # # # #,None
42,0,42,42,42,42,42,2,2,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,2 4 4 4 4 1,4
43,3.0801703,43,43,43,43,43,3,3,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['2', '4', '4', '4', '4', '1']","[17.446312899992336, 17.95822099997895, 19.174320499994792, 19.4222454999981, 20.350295499985805, 20.52648319999571]",2,6,# # # # # #,None
44,0,44,44,44,44,44,4,4,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,1 4 1 4 4 3,6
