,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,4.5520139,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[7.077982099988731, 7.373946499981685, 7.654420899983961, 11.045988300000317, 11.278051999979652, 11.629996000003302]",1,6,# # # # # #,None,7.077982099988731,7.373946499981685,7.654420899983961,11.045988300000317,11.278051999979652,11.629996000003302,0.5779820999887306,0.295964399992954,0.2804744000022765,3.3915674000163563,0.23206369997933507,0.35194400002365
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,3.2240328,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[18.654032499995083, 19.87775970000075, 20.25389969997923, 21.55794440000318, 21.749849899992114, 21.878065299999435]",1,6,# # # # # #,None,18.654032499995083,19.87775970000075,20.25389969997923,21.55794440000318,21.749849899992114,21.878065299999435,0.5240364999917801,1.2237272000056691,0.37613999997847714,1.304044700023951,0.19190549998893403,0.12821540000732057
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,1.0878168,3,True,0.5,acc,right,True,2,1,1,ret,1,1,0,"['1', '2', '1', '1', '1', '3']","[30.582147999986773, 30.710534199984977, 30.822369500005152, 31.093922800006112, 31.549978199996985, 31.66996480000671]",1,6,# # # # # #,None,30.582147999986773,30.710534199984977,30.822369500005152,31.093922800006112,31.549978199996985,31.66996480000671,2.204082699987339,0.12838619999820367,0.11183530002017505,0.27155330000096,0.4560553999908734,0.1199866000097245
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,2.079932,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[41.53394649998518, 42.10991939998348, 42.58197529998142, 42.92590959998779, 43.38986679998925, 43.613878499978455]",1,6,# # # # # #,None,41.53394649998518,42.10991939998348,42.58197529998142,42.92590959998779,43.38986679998925,43.613878499978455,3.363981699978467,0.5759728999983054,0.4720558999979403,0.34393430000636727,0.46395720000145957,0.22401169998920523
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,5.4239892,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[54.42991909998818, 55.23774660000345, 57.67774250000366, 57.91813209999236, 59.67787439998938, 59.85390829999233]",1,6,# # # # # #,None,54.42991909998818,55.23774660000345,57.67774250000366,57.91813209999236,59.67787439998938,59.85390829999233,4.316040600009728,0.8078275000152644,2.4399959000002127,0.24038959998870268,1.759742299997015,0.17603390000294894
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,5.7999823,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['1', '2', '3', '1', '4', '1']","[68.33393839999917, 70.58189349999884, 72.54174819999025, 72.79790639999555, 73.84589969998342, 74.13392069999827]",1,6,# # # # # #,None,68.33393839999917,70.58189349999884,72.54174819999025,72.79790639999555,73.84589969998342,74.13392069999827,1.980030100006843,2.247955099999672,1.9598546999914106,0.2561582000053022,1.0479932999878656,0.28802100001485087
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,5.7119769,3,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['3', '4', '1', '1', '1', '3']","[82.50203079998028, 83.88590449999901, 84.34997399998247, 87.03790939997998, 87.4699963000021, 88.21400769997854]",1,6,# # # # # #,None,82.50203079998028,83.88590449999901,84.34997399998247,87.03790939997998,87.4699963000021,88.21400769997854,1.8681100999820046,1.3838737000187393,0.46406949998345226,2.6879353999975137,0.4320869000221137,0.7440113999764435
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,3.8959425,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[97.32600299999467, 97.81392190000042, 98.82991939998465, 99.22191709998879, 100.92598749999888, 101.22194550000131]",1,6,# # # # # #,None,97.32600299999467,97.81392190000042,98.82991939998465,99.22191709998879,100.92598749999888,101.22194550000131,2.611995300016133,0.4879189000057522,1.0159974999842234,0.3919977000041399,1.704070400010096,0.2959580000024289
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,2.9999695,3,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['4', '1', '1', '1', '1', '2']","[5.394970599998487, 5.91497059998801, 6.146978999982821, 7.9308928999817, 8.131005499977618, 8.394940099999076]",1,6,# # # # # #,None,5.394970599998487,5.91497059998801,6.146978999982821,7.9308928999817,8.131005499977618,8.394940099999076,NaN,0.5199999999895226,0.23200839999481104,1.783913899998879,0.20011259999591857,0.2639346000214573
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,4.5200019,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[16.338873999979114, 16.746980999974767, 17.155014999996638, 19.818845599977067, 20.594852699985495, 20.858875899983104]",1,6,# # # # # #,None,16.338873999979114,16.746980999974767,17.155014999996638,19.818845599977067,20.594852699985495,20.858875899983104,1.4439338999800384,0.4081069999956526,0.4080340000218712,2.663830599980429,0.7760071000084281,0.2640231999976095
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,5.3679437,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '2', '2', '4', '4', '1']","[33.922949300002074, 34.38691549998475, 36.98704779997934, 37.79496389999986, 39.11494379999931, 39.290892999997595]",1,6,# # # # # #,None,33.922949300002074,34.38691549998475,36.98704779997934,37.79496389999986,39.11494379999931,39.290892999997595,6.5640734000189696,0.4639661999826785,2.600132299994584,0.8079161000205204,1.3199798999994528,0.17594919999828562
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,7.7840949,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[47.322830899996916, 49.21091389999492, 50.010945999994874, 52.49088319999282, 52.91493529998115, 55.106925799977034]",1,6,# # # # # #,None,47.322830899996916,49.21091389999492,50.010945999994874,52.49088319999282,52.91493529998115,55.106925799977034,1.5319378999993205,1.888082999998005,0.8000320999999531,2.4799371999979485,0.42405209998833016,2.1919904999958817
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
