,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,2.2882944,1,1,1,1,1,1,1,1,1,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[5.476285799999459, 5.69233389999863, 5.892237000000023, 7.3243458999986615, 7.516262899998765, 7.764580199998818]",1,6,# # # # # #,None
2,0,2,2,2,2,2,2,2,2,2,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,2.0318866,3,3,3,3,3,3,3,3,3,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[14.65248259999862, 15.180309800000032, 15.820299199998772, 16.180395899998985, 16.42836829999942, 16.68436920000022]",1,6,# # # # # #,None
4,0,4,4,4,4,4,4,4,4,4,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,8.0798534,5,5,5,5,5,5,5,5,5,3,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,0,"['3', 'space', '3', '4', '1', '4']","[24.532399099998656, 24.940377199998693, 28.42052429999967, 32.052263599998696, 32.348229600000195, 32.61225249999916]",1,6,# # # # # #,None
6,0,6,6,6,6,6,6,6,6,6,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,3.7920698,7,7,7,7,7,7,7,7,7,2,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,1,"['4', '1', '4', '1', '4', '4']","[41.46027089999916, 41.72427009999956, 44.300314199999775, 44.53226050000012, 45.028453199998694, 45.25234069999897]",1,6,# # # # # #,None
8,0,8,8,8,8,8,8,8,8,8,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,1.5278768,9,9,9,9,9,9,9,9,9,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[55.60427410000011, 55.89241140000013, 56.18020129999968, 56.42027210000015, 56.85240369999883, 57.13215089999903]",1,6,# # # # # #,None
10,0,10,10,10,10,10,10,10,10,10,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
