,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,2.2882944,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[5.476285799999459, 5.69233389999863, 5.892237000000023, 7.3243458999986615, 7.516262899998765, 7.764580199998818]",1,6,# # # # # #,None,5.476285799999459,5.69233389999863,5.892237000000023,7.3243458999986615,7.516262899998765,7.764580199998818,-1.0237142000005406,0.21604809999917052,0.19990310000139289,1.4321088999986387,0.19191700000010314,0.24831730000005336
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,2.0318866,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[14.65248259999862, 15.180309800000032, 15.820299199998772, 16.180395899998985, 16.42836829999942, 16.68436920000022]",1,6,# # # # # #,None,14.65248259999862,15.180309800000032,15.820299199998772,16.180395899998985,16.42836829999942,16.68436920000022,0.3879023999998026,0.5278272000014113,0.6399893999987398,0.3600967000002129,0.2479724000004353,0.25600090000079945
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,8.0798534,3,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['3', 'space', '3', '4', '1', '4']","[24.532399099998656, 24.940377199998693, 28.42052429999967, 32.052263599998696, 32.348229600000195, 32.61225249999916]",1,6,# # # # # #,None,24.532399099998656,24.940377199998693,28.42052429999967,32.052263599998696,32.348229600000195,32.61225249999916,1.348029899998437,0.40797810000003665,3.480147100000977,3.631739299999026,0.2959660000014992,0.2640228999989631
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,3.7920698,2,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['4', '1', '4', '1', '4', '4']","[41.46027089999916, 41.72427009999956, 44.300314199999775, 44.53226050000012, 45.028453199998694, 45.25234069999897]",1,6,# # # # # #,None,41.46027089999916,41.72427009999956,44.300314199999775,44.53226050000012,45.028453199998694,45.25234069999897,2.348018400000001,0.26399920000039856,2.5760441000002174,0.23194630000034522,0.4961926999985735,0.22388750000027358
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,1.5278768,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[55.60427410000011, 55.89241140000013, 56.18020129999968, 56.42027210000015, 56.85240369999883, 57.13215089999903]",1,6,# # # # # #,None,55.60427410000011,55.89241140000013,56.18020129999968,56.42027210000015,56.85240369999883,57.13215089999903,3.851933400001144,0.2881373000000167,0.2877898999995523,0.240070800000467,0.43213159999868367,0.2797472000002017
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,4.1519888,2,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['2', '2', '4', '1', '3', '2']","[66.58832780000012, 66.86855879999894, 67.2603612999992, 67.70822880000014, 70.4523154999988, 70.74031659999855]",1,6,# # # # # #,None,66.58832780000012,66.86855879999894,67.2603612999992,67.70822880000014,70.4523154999988,70.74031659999855,2.9561769000010827,0.28023099999882106,0.3918025000002672,0.4478675000009389,2.744086699998661,0.28800109999974666
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,3.807967,3,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['3', '4', '1', '4', '1', '1']","[79.6202314000002, 80.20433570000023, 80.58015909999995, 82.67628559999866, 82.98017029999937, 83.42819839999902]",1,6,# # # # # #,None,79.6202314000002,80.20433570000023,80.58015909999995,82.67628559999866,82.98017029999937,83.42819839999902,2.379914800001643,0.5841043000000354,0.37582339999971737,2.096126499998718,0.3038847000007081,0.44802809999964666
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,2.3359699,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[91.88428169999861, 92.49222579999878, 92.92411659999925, 93.34017309999945, 93.87616909999997, 94.22025159999976]",1,6,# # # # # #,None,91.88428169999861,92.49222579999878,92.92411659999925,93.34017309999945,93.87616909999997,94.22025159999976,1.956083299999591,0.607944100000168,0.431890800000474,0.41605650000019523,0.535996000000523,0.3440824999997858
