,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,4.119733800005633,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[6.916036800001166, 7.347846400007256, 7.739784100005636, 10.179761100007454, 10.667737900002976, 11.0357706000068]",1,6,# # # # # #,None,6.916036800001166,7.347846400007256,7.739784100005636,10.179761100007454,10.667737900002976,11.0357706000068,0.41603680000116583,0.4318096000060905,0.3919376999983797,2.439977000001818,0.487976799995522,0.36803270000382327
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,2.8076743999990867,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[18.204226900008507, 18.65997070001322, 19.06804280000506, 20.339883400010876, 20.691829000003054, 21.011901300007594]",1,6,# # # # # #,None,18.204226900008507,18.65997070001322,19.06804280000506,20.339883400010876,20.691829000003054,21.011901300007594,0.6684563000017079,0.4557438000047114,0.40807209999184124,1.2718406000058167,0.35194559999217745,0.32007230000454
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,3.0160259999975096,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[28.427767400004086, 28.76378740000655, 29.53975550000905, 30.667757200004417, 31.08376040001167, 31.443793400001596]",1,6,# # # # # #,None,28.427767400004086,28.76378740000655,29.53975550000905,30.667757200004417,31.08376040001167,31.443793400001596,0.9158660999964923,0.33602000000246335,0.7759681000025012,1.128001699995366,0.4160032000072533,0.3600329999899259
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,2.9282129000057457,2,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['4', '2', '2', '1', '4', '4']","[41.099506600003224, 41.70764770000824, 42.26781520000077, 42.7077130000107, 43.62767130001157, 44.02771950000897]",1,6,# # # # # #,None,41.099506600003224,41.70764770000824,42.26781520000077,42.7077130000107,43.62767130001157,44.02771950000897,3.155713200001628,0.6081411000050139,0.5601674999925308,0.4398978000099305,0.9199583000008715,0.40004819999739993
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,2.639829099993221,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[53.83570220001275, 54.26778470000136, 54.69175310000719, 55.075720900000306, 56.07567640001071, 56.47553130000597]",1,6,# # # # # #,None,53.83570220001275,54.26778470000136,54.69175310000719,55.075720900000306,56.07567640001071,56.47553130000597,3.3079827000037767,0.4320824999886099,0.42396840000583325,0.3839677999931155,0.999955500010401,0.3998548999952618
