,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,2.1680021000793204,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[27.95520009996835, 28.22720990004018, 29.347199200070463, 29.79514940001536, 29.963158800033852, 30.123202200047672]",1,6,# # # # # #,None
2,0.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,1.1520142999943346,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[36.939194999984466, 37.19513440004084, 37.41930880001746, 37.69925509998575, 37.98713130003307, 38.0912092999788]",1,6,# # # # # #,None
4,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,1.3279166999273002,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[45.16318540007342, 45.34718649997376, 45.54720480006654, 46.05918360000942, 46.291208400041796, 46.49110210000072]",1,6,# # # # # #,None
6,0.0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,1.2404172000242395,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[55.379207400023006, 55.48315800004639, 55.98717740003485, 56.13971660006791, 56.459130199975334, 56.619624600047246]",1,6,# # # # # #,None
8,0.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,8.511983399977908,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['4', '1', '1', '4', '3', '3']","[67.9391688000178, 68.10756140004378, 75.56320930004586, 75.70707910007332, 76.31522650003899, 76.4511521999957]",1,6,# # # # # #,None
10,0.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
11,5.087923499988391,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '3', '4', '1', '1']","[85.5551698000636, 85.72315880004317, 89.56311980006285, 89.77911570004653, 90.44313629996032, 90.64309330005199]",1,6,# # # # # #,None
12,0.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6
13,3.431840200093576,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['3', '4', '1', '3', '1', '1']","[97.69140869996045, 97.9470576000167, 98.19504210003652, 100.5872507999884, 100.89908720005769, 101.12324890005402]",1,6,# # # # # #,None
14,0.0,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4
15,1.2638526000082493,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[110.31517349998467, 110.44365919998381, 110.85913680004887, 110.97907750005834, 111.38710930000525, 111.57902609999292]",1,6,# # # # # #,None
16,0.0,16,16.0,16.0,16.0,16.0,16.0,0.0,0.0,,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6
17,1.0480483999708667,17,17.0,17.0,17.0,17.0,17.0,1.0,1.0,,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '2', '2', '1', '1', '2']","[5.571914199972525, 5.827885699924082, 5.9799282000167295, 6.316213699989021, 6.459904299932532, 6.619962599943392]",1,6,# # # # # #,None
18,0.0,18,18.0,18.0,18.0,18.0,18.0,2.0,2.0,,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6
19,0.9843311000149696,19,19.0,19.0,19.0,19.0,19.0,3.0,3.0,,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['3', '3', '2', '2', '2', '3']","[13.33987329993397, 13.483915399992839, 13.723934900015593, 14.051986899925396, 14.188004299998283, 14.32420439994894]",1,6,# # # # # #,None
20,0.0,20,20.0,20.0,20.0,20.0,20.0,4.0,4.0,,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4
21,6.10395429993514,21,21.0,21.0,21.0,21.0,21.0,5.0,5.0,,2,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['1', '2', '4', '1', '2', '1']","[23.515989699983038, 23.707911300007254, 24.676131399930455, 24.963919700006954, 29.548923399997875, 29.619943999918178]",1,6,# # # # # #,None
22,0.0,22,22.0,22.0,22.0,22.0,22.0,6.0,6.0,,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6
23,4.088475299999119,23,23.0,23.0,23.0,23.0,23.0,7.0,7.0,,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[39.587992499931715, 40.37189969990868, 40.691915299976245, 42.98784209997393, 43.33186759997625, 43.67646779993083]",1,6,# # # # # #,None
24,0.0,24,24.0,24.0,24.0,24.0,24.0,8.0,8.0,,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4
