,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,2.1680021000793204,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[27.95520009996835, 28.22720990004018, 29.347199200070463, 29.79514940001536, 29.963158800033852, 30.123202200047672]",1,6,# # # # # #,None,27.95520009996835,28.22720990004018,29.347199200070463,29.79514940001536,29.963158800033852,30.123202200047672,21.45520009996835,0.27200980007182807,1.1199893000302836,0.4479501999448985,0.16800940001849085,0.16004340001381934
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,1.1520142999943346,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[36.939194999984466, 37.19513440004084, 37.41930880001746, 37.69925509998575, 37.98713130003307, 38.0912092999788]",1,6,# # # # # #,None,36.939194999984466,37.19513440004084,37.41930880001746,37.69925509998575,37.98713130003307,38.0912092999788,0.31599279993679374,0.25593940005637705,0.2241743999766186,0.27994629996828735,0.2878762000473216,0.10407799994572997
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,1.3279166999273002,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[45.16318540007342, 45.34718649997376, 45.54720480006654, 46.05918360000942, 46.291208400041796, 46.49110210000072]",1,6,# # # # # #,None,45.16318540007342,45.34718649997376,45.54720480006654,46.05918360000942,46.291208400041796,46.49110210000072,0.5719761000946164,0.18400109990034252,0.2000183000927791,0.5119787999428809,0.23202480003237724,0.19989369995892048
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,1.2404172000242395,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[55.379207400023006, 55.48315800004639, 55.98717740003485, 56.13971660006791, 56.459130199975334, 56.619624600047246]",1,6,# # # # # #,None,55.379207400023006,55.48315800004639,55.98717740003485,56.13971660006791,56.459130199975334,56.619624600047246,2.388105300022289,0.10395060002338141,0.504019399988465,0.1525392000330612,0.3194135999074206,0.1604944000719115
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,8.511983399977908,2,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['4', '1', '1', '4', '3', '3']","[67.9391688000178, 68.10756140004378, 75.56320930004586, 75.70707910007332, 76.31522650003899, 76.4511521999957]",1,6,# # # # # #,None,67.9391688000178,68.10756140004378,75.56320930004586,75.70707910007332,76.31522650003899,76.4511521999957,4.819544199970551,0.16839260002598166,7.455647900002077,0.14386980002745986,0.6081473999656737,0.1359256999567151
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,5.087923499988391,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '3', '4', '1', '1']","[85.5551698000636, 85.72315880004317, 89.56311980006285, 89.77911570004653, 90.44313629996032, 90.64309330005199]",1,6,# # # # # #,None,85.5551698000636,85.72315880004317,89.56311980006285,89.77911570004653,90.44313629996032,90.64309330005199,2.604017600067891,0.1679889999795705,3.8399610000196844,0.21599589998368174,0.6640205999137834,0.19995700009167194
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,3.431840200093576,3,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['3', '4', '1', '3', '1', '1']","[97.69140869996045, 97.9470576000167, 98.19504210003652, 100.5872507999884, 100.89908720005769, 101.12324890005402]",1,6,# # # # # #,None,97.69140869996045,97.9470576000167,98.19504210003652,100.5872507999884,100.89908720005769,101.12324890005402,0.5483153999084607,0.25564890005625784,0.2479845000198111,2.3922086999518797,0.31183640006929636,0.22416169999632984
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
