,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,2.8301709,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[5.332395699995686, 5.65263799999957, 5.946424299996579, 7.27376739999454, 7.653674899993348, 8.162566600003629]",1,6,# # # # # #,None,5.332395699995686,5.65263799999957,5.946424299996579,7.27376739999454,7.653674899993348,8.162566600003629,-1.1676043000043137,0.32024230000388343,0.29378629999700934,1.327343099997961,0.3799074999988079,0.5088917000102811
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,2.4945668,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[15.07539669999096, 15.903157399996417, 16.202296599993133, 16.942378299994743, 17.29057080000348, 17.56996349999099]",1,6,# # # # # #,None,15.07539669999096,15.903157399996417,16.202296599993133,16.942378299994743,17.29057080000348,17.56996349999099,0.4128300999873318,0.8277607000054559,0.29913919999671634,0.7400817000016104,0.3481925000087358,0.27939269998751115
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,2.6204461,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[24.900918500003172, 25.260386399997515, 25.569919300003676, 26.957004800002323, 27.27753369999118, 27.521364600004745]",1,6,# # # # # #,None,24.900918500003172,25.260386399997515,25.569919300003676,26.957004800002323,27.27753369999118,27.521364600004745,0.8309550000121817,0.3594678999943426,0.30953290000616107,1.3870854999986477,0.32052889998885803,0.24383090001356322
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,2.0313494,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[36.18035539999255, 36.714389100001426, 37.353500500001246, 37.698084299991024, 37.982166599991615, 38.21170479999273]",1,6,# # # # # #,None,36.18035539999255,36.714389100001426,37.353500500001246,37.698084299991024,37.982166599991615,38.21170479999273,2.158990799987805,0.5340337000088766,0.6391113999998197,0.3445837999897776,0.2840823000005912,0.2295382000011159
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,7.1115387,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[47.13065560000541, 47.50982700000168, 50.21581189999415, 50.48484350000217, 54.027419799997006, 54.24219429999357]",1,6,# # # # # #,None,47.13065560000541,47.50982700000168,50.21581189999415,50.48484350000217,54.027419799997006,54.24219429999357,2.4189508000126807,0.3791713999962667,2.7059848999924725,0.2690316000080202,3.5425762999948347,0.21477449999656528
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,4.6244884,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '4', '4', '2', '1']","[63.81556210000417, 64.05854009999894, 66.59367659999407, 66.91287580000062, 68.2856124999962, 68.44005049999396]",1,6,# # # # # #,None,63.81556210000417,64.05854009999894,66.59367659999407,66.91287580000062,68.2856124999962,68.44005049999396,3.073367800010601,0.2429779999947641,2.535136499995133,0.3191992000065511,1.3727366999955848,0.15443799999775365
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,3.5336027,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '4', '1', '1', '1', '4']","[78.40736100000504, 78.73177329999453, 79.04096820000268, 81.39655279999715, 81.70615230000112, 81.9409636999917]",1,6,# # # # # #,None,78.40736100000504,78.73177329999453,79.04096820000268,81.39655279999715,81.70615230000112,81.9409636999917,3.467310500011081,0.32441229998948984,0.3091949000081513,2.3555845999944722,0.3095995000039693,0.23481139999057632
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,2.971324,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[90.35564049999812, 90.77414720000525, 91.98684450000292, 92.27146629999334, 93.07502309999836, 93.3269644999964]",1,6,# # # # # #,None,90.35564049999812,90.77414720000525,91.98684450000292,92.27146629999334,93.07502309999836,93.3269644999964,1.9146768000064185,0.41850670000712853,1.2126972999976715,0.28462179999041837,0.8035568000050262,0.25194139999803156
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,1.9116128,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '2', '2', '1', '1', '2']","[5.898822099999961, 6.506690199999866, 6.682595199999923, 7.418591400000878, 7.59459440000137, 7.810434900002292]",1,6,# # # # # #,None,5.898822099999961,6.506690199999866,6.682595199999923,7.418591400000878,7.59459440000137,7.810434900002292,NaN,0.6078680999999051,0.17590500000005704,0.7359962000009546,0.17600300000049174,0.21584050000092248
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,2.2079294,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[14.970631700001832, 15.258535500001017, 15.834592000002885, 16.69049250000171, 17.01061330000084, 17.17856110000139]",1,6,# # # # # #,None,14.970631700001832,15.258535500001017,15.834592000002885,16.69049250000171,17.01061330000084,17.17856110000139,0.6601967999995395,0.28790379999918514,0.5760565000018687,0.8559004999988247,0.3201207999991311,0.16794780000054743
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,6.7600389,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '2', '2', '4', '4', '1']","[26.522529199999553, 27.026499499999773, 29.87444400000095, 30.21857540000201, 33.01929590000145, 33.28256809999948]",1,6,# # # # # #,None,26.522529199999553,27.026499499999773,29.87444400000095,30.21857540000201,33.01929590000145,33.28256809999948,2.8439680999981647,0.5039703000002191,2.8479445000011765,0.3441314000010607,2.800720499999443,0.26327219999802765
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,6.9358923,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[40.74657400000069, 41.87449520000155, 43.11451090000264, 46.69856609999988, 46.866465099999914, 47.68246630000067]",1,6,# # # # # #,None,40.74657400000069,41.87449520000155,43.11451090000264,46.69856609999988,46.866465099999914,47.68246630000067,0.9640059000012116,1.1279212000008556,1.240015700001095,3.5840551999972377,0.167899000000034,0.8160012000007555
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
25,9,6.8239786,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '3', '1', '2', '3', '4']","[59.17853620000096, 59.5305014000005, 61.674480500001664, 61.89845369999966, 65.81842450000113, 66.00251480000225]",1,6,# # # # # #,None,59.17853620000096,59.5305014000005,61.674480500001664,61.89845369999966,65.81842450000113,66.00251480000225,4.996069900000293,0.35196519999954035,2.143979100001161,0.22397319999799947,3.9199708000014652,0.1840903000011167
26,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 3 1 1 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27,11,2.0720185,2,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['4', '3', '2', '1', '1', '2']","[75.3544323999995, 75.61839690000124, 76.10653290000118, 76.29847739999968, 77.2264404000016, 77.42645090000224]",1,6,# # # # # #,None,75.3544323999995,75.61839690000124,76.10653290000118,76.29847739999968,77.2264404000016,77.42645090000224,2.8519175999972504,0.2639645000017481,0.4881359999999404,0.19194449999849894,0.9279630000019097,0.20001050000064424
28,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 4 2 2 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
29,13,7.6318684,3,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['1', '2', '2', '4', '3', '4']","[85.49052760000268, 85.8984068000027, 86.08227430000261, 91.7544213000001, 92.93911240000307, 93.12239600000248]",1,6,# # # # # #,None,85.49052760000268,85.8984068000027,86.08227430000261,91.7544213000001,92.93911240000307,93.12239600000248,1.5640767000004416,0.40787920000002487,0.1838674999999057,5.672146999997494,1.184691100002965,0.18328359999941313
30,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 3 4 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
31,15,2.5519087,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '2', '3', '4', '2', '1']","[103.97855710000294, 104.24237150000044, 104.71440260000236, 105.4263721999996, 106.35438179999983, 106.53046580000228]",1,6,# # # # # #,None,103.97855710000294,104.24237150000044,104.71440260000236,105.4263721999996,106.35438179999983,106.53046580000228,4.356161100000463,0.2638143999975,0.47203110000191373,0.7119695999972464,0.9280096000002231,0.17608400000244728
32,16,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 4 1 3 2 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
33,17,3.7442504,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '4', '1', '3', '2', '4']","[116.04236200000014, 116.92242220000117, 117.41038140000092, 118.64240940000309, 119.50636490000034, 119.78661240000292]",1,6,# # # # # #,None,116.04236200000014,116.92242220000117,117.41038140000092,118.64240940000309,119.50636490000034,119.78661240000292,3.0118961999978637,0.8800602000010258,0.4879591999997501,1.232028000002174,0.8639554999972461,0.2802475000025879
34,18,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 3 3 4,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
