,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,2.8301709,1,1,1,1,1,1,1,1,1,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[5.332395699995686, 5.65263799999957, 5.946424299996579, 7.27376739999454, 7.653674899993348, 8.162566600003629]",1,6,# # # # # #,None
2,0,2,2,2,2,2,2,2,2,2,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,2.4945668,3,3,3,3,3,3,3,3,3,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[15.07539669999096, 15.903157399996417, 16.202296599993133, 16.942378299994743, 17.29057080000348, 17.56996349999099]",1,6,# # # # # #,None
4,0,4,4,4,4,4,4,4,4,4,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,2.6204461,5,5,5,5,5,5,5,5,5,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '4', '3', '4', '1', '4']","[24.900918500003172, 25.260386399997515, 25.569919300003676, 26.957004800002323, 27.27753369999118, 27.521364600004745]",1,6,# # # # # #,None
6,0,6,6,6,6,6,6,6,6,6,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,2.0313494,7,7,7,7,7,7,7,7,7,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[36.18035539999255, 36.714389100001426, 37.353500500001246, 37.698084299991024, 37.982166599991615, 38.21170479999273]",1,6,# # # # # #,None
8,0,8,8,8,8,8,8,8,8,8,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,7.1115387,9,9,9,9,9,9,9,9,9,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[47.13065560000541, 47.50982700000168, 50.21581189999415, 50.48484350000217, 54.027419799997006, 54.24219429999357]",1,6,# # # # # #,None
10,0,10,10,10,10,10,10,10,10,10,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4
11,4.6244884,11,11,11,11,11,11,11,11,11,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['2', '2', '4', '4', '2', '1']","[63.81556210000417, 64.05854009999894, 66.59367659999407, 66.91287580000062, 68.2856124999962, 68.44005049999396]",1,6,# # # # # #,None
12,0,12,12,12,12,12,12,12,12,12,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6
13,3.5336027,13,13,13,13,13,13,13,13,13,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '4', '1', '1', '1', '4']","[78.40736100000504, 78.73177329999453, 79.04096820000268, 81.39655279999715, 81.70615230000112, 81.9409636999917]",1,6,# # # # # #,None
14,0,14,14,14,14,14,14,14,14,14,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4
15,2.971324,15,15,15,15,15,15,15,15,15,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '2', '3', '4', '3', '1']","[90.35564049999812, 90.77414720000525, 91.98684450000292, 92.27146629999334, 93.07502309999836, 93.3269644999964]",1,6,# # # # # #,None
16,0,0,0,0,0,0,0,0,0,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6
17,1.9116128,1,1,1,1,1,1,1,1,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '2', '2', '1', '1', '2']","[5.898822099999961, 6.506690199999866, 6.682595199999923, 7.418591400000878, 7.59459440000137, 7.810434900002292]",1,6,# # # # # #,None
18,0,2,2,2,2,2,2,2,2,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6
19,2.2079294,3,3,3,3,3,3,3,3,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[14.970631700001832, 15.258535500001017, 15.834592000002885, 16.69049250000171, 17.01061330000084, 17.17856110000139]",1,6,# # # # # #,None
20,0,4,4,4,4,4,4,4,4,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4
21,6.7600389,5,5,5,5,5,5,5,5,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['1', '2', '2', '4', '4', '1']","[26.522529199999553, 27.026499499999773, 29.87444400000095, 30.21857540000201, 33.01929590000145, 33.28256809999948]",1,6,# # # # # #,None
22,0,6,6,6,6,6,6,6,6,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6
23,6.9358923,7,7,7,7,7,7,7,7,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[40.74657400000069, 41.87449520000155, 43.11451090000264, 46.69856609999988, 46.866465099999914, 47.68246630000067]",1,6,# # # # # #,None
24,0,8,8,8,8,8,8,8,8,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4
25,6.8239786,9,9,9,9,9,9,9,9,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['4', '3', '1', '2', '3', '4']","[59.17853620000096, 59.5305014000005, 61.674480500001664, 61.89845369999966, 65.81842450000113, 66.00251480000225]",1,6,# # # # # #,None
