,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
34,18,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 3 3 4,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
35,19,3.9202265,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '3', '3', '3', '3', '2']","[138.2107537999982, 138.9469571999798, 139.1789780999825, 141.7389075999963, 141.93896469997708, 142.13098029998946]",1,6,# # # # # #,None,138.2107537999982,138.9469571999798,139.1789780999825,141.7389075999963,141.93896469997708,142.13098029998946,0.6833424000069499,0.7362033999816049,0.23202090000268072,2.5599295000138227,0.20005709998076782,0.1920156000123825
36,20,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 1 3 2 2 4,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
37,21,1.8318773,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '1', '3', '2', '2', '4']","[148.73891189999995, 148.95499879997806, 149.2109480999934, 150.20294219997595, 150.41089579998516, 150.57078919999185]",1,6,# # # # # #,None,148.73891189999995,148.95499879997806,149.2109480999934,150.20294219997595,150.41089579998516,150.57078919999185,0.10793160001048818,0.2160868999781087,0.2559493000153452,0.9919940999825485,0.20795360000920482,0.15989340000669472
38,22,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
39,23,5.4478287,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '4', '1', '1', '1', '4']","[159.29903480000212, 159.50694399999338, 161.84291409997968, 162.25889899997856, 164.45071839998127, 164.74686349998228]",1,6,# # # # # #,None,159.29903480000212,159.50694399999338,161.84291409997968,162.25889899997856,164.45071839998127,164.74686349998228,2.2282456000102684,0.20790919999126345,2.335970099986298,0.41598489999887533,2.1918194000027142,0.2961451000010129
40,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,3 2 2 3 2 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
41,1,2.2320784,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '2', '2', '3', '2', '3']","[5.67022079997696, 5.95031809998909, 6.1663815999927465, 7.566275599994697, 7.766360099980375, 7.9022991999809165]",2,6,# # # # # #,None,5.67022079997696,5.95031809998909,6.1663815999927465,7.566275599994697,7.766360099980375,7.9022991999809165,NaN,0.2800973000121303,0.21606350000365637,1.3998940000019502,0.20008449998567812,0.13593910000054166
42,2,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,2 4 4 4 4 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
43,3,3.0801703,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['2', '4', '4', '4', '4', '1']","[17.446312899992336, 17.95822099997895, 19.174320499994792, 19.4222454999981, 20.350295499985805, 20.52648319999571]",2,6,# # # # # #,None,17.446312899992336,17.95822099997895,19.174320499994792,19.4222454999981,20.350295499985805,20.52648319999571,3.044013700011419,0.5119080999866128,1.2160995000158437,0.2479250000033062,0.9280499999877065,0.1761877000099048
44,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,1 4 1 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
45,5,2.5439027,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '4', '1', '4', '4', '3']","[27.694196500000544, 28.038254399987636, 28.310289899993222, 28.99033309999504, 29.24660079999012, 30.23809919998166]",2,6,# # # # # #,None,27.694196500000544,28.038254399987636,28.310289899993222,28.99033309999504,29.24660079999012,30.23809919998166,0.6677133000048343,0.34405789998709224,0.2720355000055861,0.6800432000018191,0.25626769999507815,0.9914983999915421
46,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,1 3 1 3 1 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
47,7,3.3841611,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '1', '3', '1', '3', '1']","[38.926292299991474, 39.51027429997339, 39.862389199988684, 41.52643269998953, 42.04624419999891, 42.31045339998673]",2,6,# # # # # #,None,38.926292299991474,39.51027429997339,39.862389199988684,41.52643269998953,42.04624419999891,42.31045339998673,2.188193100009812,0.5839819999819156,0.35211490001529455,1.6640435000008438,0.5198115000093821,0.26420919998781756
48,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,2 1 4 4 4 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
49,9,5.8720281,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['2', '4', '4', '4', '1', '2']","[52.43833169998834, 53.31824090000009, 55.254262699978426, 55.542394699994475, 58.238718999986304, 58.310359800001606]",2,6,# # # # # #,None,52.43833169998834,53.31824090000009,55.254262699978426,55.542394699994475,58.238718999986304,58.310359800001606,3.627878300001612,0.8799092000117525,1.9360217999783345,0.28813200001604855,2.6963242999918293,0.07164080001530237
50,10,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,3 3 4 1 2 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
51,11,3.4321993,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['3', '2', '1', '4', '3', '3']","[65.55815839997376, 65.70292589999735, 65.87050459999591, 68.11826179997297, 68.80644299997948, 68.99035769997863]",2,6,# # # # # #,None,65.55815839997376,65.70292589999735,65.87050459999591,68.11826179997297,68.80644299997948,68.99035769997863,0.7477985999721568,0.1447675000235904,0.16757869999855757,2.247757199977059,0.6881812000065111,0.1839146999991499
52,12,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,4 2 2 2 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
53,13,4.5360072,2,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['1', '3', '2', '2', '4', '4']","[77.8702784999914, 79.03822019998915, 81.08624779997626, 81.3102456999768, 82.20624759999919, 82.4062856999808]",2,6,# # # # # #,None,77.8702784999914,79.03822019998915,81.08624779997626,81.3102456999768,82.20624759999919,82.4062856999808,2.379920800012769,1.1679416999977548,2.0480275999871083,0.22399790000054054,0.8960019000223838,0.2000380999816116
54,14,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,3 2 2 1 1 4,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
55,15,1.3680632,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '2', '2', '1', '1', '4']","[89.4861839999794, 89.7183468999865, 89.91021969998837, 90.23027169998386, 90.43827469999087, 90.85424719998264]",2,6,# # # # # #,None,89.4861839999794,89.7183468999865,89.91021969998837,90.23027169998386,90.43827469999087,90.85424719998264,0.5798982999986038,0.23216290000709705,0.19187280000187457,0.32005199999548495,0.208003000007011,0.4159724999917671
56,16,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,4 3 2 1 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
57,17,5.8638923,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['2', '2', '1', '2', '3', '4']","[100.02234319999116, 100.2307962999912, 102.35827679999056, 103.03824589998112, 105.79831549999653, 105.88623549998738]",2,6,# # # # # #,None,100.02234319999116,100.2307962999912,102.35827679999056,103.03824589998112,105.79831549999653,105.88623549998738,2.668096000008518,0.20845310000004247,2.127480499999365,0.6799690999905579,2.760069600015413,0.0879199999908451
58,18,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,3 1 4 4 2 3,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
59,19,2.6000939,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '1', '4', '4', '2', '3']","[114.84610969998175, 114.99870450000162, 116.21431789998314, 116.42233879998093, 117.39831399999093, 117.44620359997498]",2,6,# # # # # #,None,114.84610969998175,114.99870450000162,116.21431789998314,116.42233879998093,117.39831399999093,117.44620359997498,2.459874199994374,0.15259480001986958,1.215613399981521,0.20802089999779128,0.9759752000099979,0.04788959998404607
60,20,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],2,6,1 1 4 4 3 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
61,21,3.4559031,3,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['2', '3', '4', '4', '4', '1']","[125.49436139999307, 126.11021859999164, 126.51835329999449, 128.51028209997457, 128.75025599999935, 128.9502644999884]",2,6,# # # # # #,None,125.49436139999307,126.11021859999164,126.51835329999449,128.51028209997457,128.75025599999935,128.9502644999884,1.548157800018089,0.6158571999985725,0.40813470000284724,1.9919287999800872,0.23997390002477914,0.20000849998905323
62,22,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],2,6,4 2 1 2 4 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
